lens_id,name,graphic_dia,per_package,price,review_cnt,bc,dia,per,url,product_image,demonstration_image
1,아큐브 래디언트 브라이트,12.5,30,27000,7666,8.5,14.2,"[0.0, -0.5, -0.75, -1.0, -1.25, -1.5, -1.75, -2.0, -2.25, -2.5, -2.75, -3.0, -3.25, -3.5, -3.75, -4.0, -4.25, -4.5, -4.75, -5.0, -5.25, -5.5, -5.75, -6.0, -6.5, -7.0, -7.5, -8.0, -8.5, -9.0]",https://www.lensgogo.com/shop/%ec%95%84%ed%81%90%eb%b8%8c-%eb%9e%98%eb%94%94%ec%96%b8%ed%8a%b8-%eb%b8%8c%eb%9d%bc%ec%9d%b4%ed%8a%b8/,"['https://d3w2op3lb880hy.cloudfront.net/wp-content/uploads/2017/07/definebright-510x510.jpg', 'https://d3w2op3lb880hy.cloudfront.net/wp-content/uploads/2017/07/140_3531986-510x255.jpg']","['https://d3w2op3lb880hy.cloudfront.net/wp-content/uploads/2017/07/bright-case.png', 'https://d3w2op3lb880hy.cloudfront.net/wp-content/uploads/2017/07/newDefine05.jpg', 'https://d3w2op3lb880hy.cloudfront.net/wp-content/uploads/2018/09/newDefine03_lens03.jpg', 'https://d3w2op3lb880hy.cloudfront.net/wp-content/uploads/2017/07/newDefine04-2.jpg']"
2,쿠퍼비전 바이오피니티,0,6,25750,9362,8.6,14,"[-0.5, -0.75, -1.0, -1.25, -1.5, -1.75, -2.0, -2.25, -2.5, -2.75, -3.0, -3.25, -3.5, -3.75, -4.0, -4.25, -4.5, -4.75, -5.0, -5.25, -5.5, -5.75, -6.0, -6.5, -7.0, -7.5, -8.0, -8.5, -9.0, -9.5, -10.0, -10.5, -11.0, -11.5, -12.0]",https://www.lensgogo.com/shop/%ec%bf%a0%ed%8d%bc%eb%b9%84%ec%a0%84-%eb%b0%94%ec%9d%b4%ec%98%a4%ed%94%bc%eb%8b%88%ed%8b%b0-6%ea%b0%9c/,"['https://d3w2op3lb880hy.cloudfront.net/wp-content/uploads/2018/08/biofinity-510x510.jpg', 'https://d3w2op3lb880hy.cloudfront.net/wp-content/uploads/2017/04/37_5929476-510x255.jpg', 'https://d3w2op3lb880hy.cloudfront.net/wp-content/uploads/2017/04/37_3497709-510x255.jpg']","['https://d3w2op3lb880hy.cloudfront.net/wp-content/uploads/2017/04/biofinity.png', 'https://d3w2op3lb880hy.cloudfront.net/wp-content/uploads/2017/04/bio.jpg']"
3,데일리스 토탈원 워터렌즈 강소라 렌즈,0,90,84900,10096,8.5,14.1,"[-1.0, -1.25, -1.5, -1.75, -2.0, -2.25, -2.5, -2.75, -3.0, -3.25, -3.5, -3.75, -4.0, -4.25, -4.5, -4.75, -5.0, -5.25, -5.5, -5.75, -6.0, -6.5, -7.0, -7.5, -8.0, -8.5, -9.0]",https://www.lensgogo.com/shop/%eb%8d%b0%ec%9d%bc%eb%a6%ac%ec%8a%a4-%ed%86%a0%ed%83%88%ec%9b%90-%ec%9b%8c%ed%84%b0%eb%a0%8c%ec%a6%88-%ea%b0%95%ec%86%8c%eb%9d%bc-%eb%a0%8c%ec%a6%88-90%ea%b0%9c/,"['https://d3w2op3lb880hy.cloudfront.net/wp-content/uploads/2017/11/total190-560280-510x255.jpg', 'https://d3w2op3lb880hy.cloudfront.net/wp-content/uploads/2017/04/104_4274035-510x255.jpg', 'https://d3w2op3lb880hy.cloudfront.net/wp-content/uploads/2017/11/alcon-dailies-total-1-90-pack-1646588663.jpg']",['https://d3w2op3lb880hy.cloudfront.net/wp-content/uploads/2017/04/water-gradient.png']
4,아큐브 비비드 스타일,12.5,30,27000,4746,8.5,14.2,"[0.0, -0.5, -0.75, -1.0, -1.25, -1.5, -1.75, -2.0, -2.25, -2.5, -2.75, -3.0, -3.25, -3.5, -3.75, -4.0, -4.25, -4.5, -4.75, -5.0, -5.25, -5.5, -5.75, -6.0, -6.5, -7.0, -7.5, -8.0, -8.5, -9.0]",https://www.lensgogo.com/shop/%ec%95%84%ed%81%90%eb%b8%8c-%eb%b9%84%eb%b9%84%eb%93%9c-%ec%8a%a4%ed%83%80%ec%9d%bc/,"['https://d3w2op3lb880hy.cloudfront.net/wp-content/uploads/2017/04/definevivid-510x510.jpg', 'https://d3w2op3lb880hy.cloudfront.net/wp-content/uploads/2017/04/82_3128180-510x255.jpg', 'https://d3w2op3lb880hy.cloudfront.net/wp-content/uploads/2017/04/vivid-style.png']","['https://d3w2op3lb880hy.cloudfront.net/wp-content/uploads/2017/04/vivid-case.png', 'https://d3w2op3lb880hy.cloudfront.net/wp-content/uploads/2018/09/newDefine05-1.jpg', 'https://d3w2op3lb880hy.cloudfront.net/wp-content/uploads/2018/09/newDefine03_lens06.jpg', 'https://d3w2op3lb880hy.cloudfront.net/wp-content/uploads/2017/04/newDefine04.jpg']"
5,아큐브 내츄럴 샤인,12.5,30,27000,5547,8.5,14.2,"[0.0, -0.5, -0.75, -1.0, -1.25, -1.5, -1.75, -2.0, -2.25, -2.5, -2.75, -3.0, -3.25, -3.5, -3.75, -4.0, -4.25, -4.5, -4.75, -5.0, -5.25, -5.5, -5.75, -6.0, -6.5, -7.0, -7.5, -8.0, -8.5, -9.0]",https://www.lensgogo.com/shop/%ec%95%84%ed%81%90%eb%b8%8c-%eb%82%b4%ec%b8%84%eb%9f%b4-%ec%83%a4%ec%9d%b8/,"['https://d3w2op3lb880hy.cloudfront.net/wp-content/uploads/2018/08/defineshine-510x510.jpg', 'https://d3w2op3lb880hy.cloudfront.net/wp-content/uploads/2017/04/79_6194658-510x255.jpg', 'https://d3w2op3lb880hy.cloudfront.net/wp-content/uploads/2017/04/natural-shine.png']","['https://d3w2op3lb880hy.cloudfront.net/wp-content/uploads/2017/04/natural-case.png', 'https://d3w2op3lb880hy.cloudfront.net/wp-content/uploads/2018/09/newDefine05-1.jpg', 'https://d3w2op3lb880hy.cloudfront.net/wp-content/uploads/2017/04/natural.png']"
6,바슈롬 원데이 소프렌 데일리,0,90,44500,6872,8.6,14.2,"[-0.5, -0.75, -1.0, -1.25, -1.5, -1.75, -2.0, -2.25, -2.5, -2.75, -3.0, -3.25, -3.5, -3.75, -4.0, -4.25, -4.5, -4.75, -5.0, -5.25, -5.5, -5.75, -6.0, -6.5, -7.0, -7.5, -8.0, -8.5, -9.0]",https://www.lensgogo.com/shop/%eb%b0%94%ec%8a%88%eb%a1%ac-%ec%9b%90%eb%8d%b0%ec%9d%b4-%ec%86%8c%ed%94%84%eb%a0%8c-%eb%8d%b0%ec%9d%bc%eb%a6%ac-90%ea%b0%9c/,"['https://d3w2op3lb880hy.cloudfront.net/wp-content/uploads/2018/08/soflens90-560280-510x255.jpg', 'https://d3w2op3lb880hy.cloudfront.net/wp-content/uploads/2017/04/85_1016766-510x255.jpg']","['https://d3w2op3lb880hy.cloudfront.net/wp-content/uploads/2017/04/soflen.png', 'https://d3w2op3lb880hy.cloudfront.net/wp-content/uploads/2017/04/softlen_01_c2.jpg']"
7,원데이 아큐브 모이스트,0,90,54000,7851,8.5,14.2,"[-0.5, -0.75, -1.0, -1.25, -1.5, -1.75, -2.0, -2.25, -2.5, -2.75, -3.0, -3.25, -3.5, -3.75, -4.0, -4.25, -4.5, -4.75, -5.0, -5.25, -5.5, -5.75, -6.0, -6.5, -7.0, -7.5, -8.0, -8.5, -9.0, -9.5, -10.0, -10.5, -11.0, -11.5, -12.0]",https://www.lensgogo.com/shop/%ec%9b%90%eb%8d%b0%ec%9d%b4-%ec%95%84%ed%81%90%eb%b8%8c-%eb%aa%a8%ec%9d%b4%ec%8a%a4%ed%8a%b8-90%ea%b0%9c/,"['https://d3w2op3lb880hy.cloudfront.net/wp-content/uploads/2018/05/moist90-560280-510x255.jpg', 'https://d3w2op3lb880hy.cloudfront.net/wp-content/uploads/2017/05/lens_j1m-2.jpg']",['https://d3w2op3lb880hy.cloudfront.net/wp-content/uploads/2018/05/%EC%82%AC%EB%B3%B8-lensdata_j1m90.jpg']
8,아큐브 오아시스 2주,0,6,22000,3641,8.4,14,"[-0.5, -0.75, -1.0, -1.25, -1.5, -1.75, -2.0, -2.25, -2.5, -2.75, -3.0, -3.25, -3.5, -3.75, -4.0, -4.25, -4.5, -4.75, -5.0, -5.25, -5.5, -5.75, -6.0, -6.5, -7.0, -7.5, -8.0, -8.5, -9.0, -9.5, -10.0, -10.5, -11.0, -11.5, -12.0]",https://www.lensgogo.com/shop/%ec%95%84%ed%81%90%eb%b8%8c-%ec%98%a4%ec%95%84%ec%8b%9c%ec%8a%a4-2%ec%a3%bc-6%ea%b0%9c/,"['https://d3w2op3lb880hy.cloudfront.net/wp-content/uploads/2018/08/acuvue-oasys-2-week-with-hydraclear-plus-6box-contact-lenses-acuvuer-1-510x510.jpg', 'https://d3w2op3lb880hy.cloudfront.net/wp-content/uploads/2017/04/28_8414970-510x255.jpg']","['https://d3w2op3lb880hy.cloudfront.net/wp-content/uploads/2017/04/oasys.png', 'https://d3w2op3lb880hy.cloudfront.net/wp-content/uploads/2017/08/acuvue-oasys-banner1b.jpg', 'https://d3w2op3lb880hy.cloudfront.net/wp-content/uploads/2017/04/img_oasys.png']"
9,아큐브 래디언트 스윗,12.5,30,27000,4166,8.5,14.2,"[0.0, -0.5, -0.75, -1.0, -1.25, -1.5, -1.75, -2.0, -2.25, -2.5, -2.75, -3.0, -3.25, -3.5, -3.75, -4.0, -4.25, -4.5, -4.75, -5.0, -5.25, -5.5, -5.75, -6.0, -6.5, -7.0, -7.5, -8.0, -8.5, -9.0]",https://www.lensgogo.com/shop/%ec%95%84%ed%81%90%eb%b8%8c-%eb%9e%98%eb%94%94%ec%96%b8%ed%8a%b8-%ec%8a%a4%ec%9c%97/,"['https://d3w2op3lb880hy.cloudfront.net/wp-content/uploads/2017/11/definesweet-510x510.jpg', 'https://d3w2op3lb880hy.cloudfront.net/wp-content/uploads/2017/04/82_3128180-510x255.jpg']","['https://d3w2op3lb880hy.cloudfront.net/wp-content/uploads/2017/04/82_3128180.jpg', 'https://d3w2op3lb880hy.cloudfront.net/wp-content/uploads/2018/09/newDefine05-1.jpg', 'https://d3w2op3lb880hy.cloudfront.net/wp-content/uploads/2018/09/newDefine03_lens01.jpg', 'https://d3w2op3lb880hy.cloudfront.net/wp-content/uploads/2017/11/define-banner.jpg', 'https://d3w2op3lb880hy.cloudfront.net/wp-content/uploads/2017/11/radiant-sweet-banner.jpg']"
10,바슈롬 원데이 소프렌 데일리,0,30,15900,4528,8.6,14.2,"[-0.5, -0.75, -1.0, -1.25, -1.5, -1.75, -2.0, -2.25, -2.5, -2.75, -3.0, -3.25, -3.5, -3.75, -4.0, -4.25, -4.5, -4.75, -5.0, -5.25, -5.5, -5.75, -6.0, -6.5, -7.0, -7.5, -8.0, -8.5, -9.0]",https://www.lensgogo.com/shop/%eb%b0%94%ec%8a%88%eb%a1%ac-%ec%9b%90%eb%8d%b0%ec%9d%b4-%ec%86%8c%ed%94%84%eb%a0%8c-%eb%8d%b0%ec%9d%bc%eb%a6%ac-30%ea%b0%9c%eb%93%a4%ec%9d%b4/,"['https://d3w2op3lb880hy.cloudfront.net/wp-content/uploads/2018/09/soflensdaily-510x510.jpg', 'https://d3w2op3lb880hy.cloudfront.net/wp-content/uploads/2017/04/85_1016766-510x255.jpg', 'https://d3w2op3lb880hy.cloudfront.net/wp-content/uploads/2017/04/85_6969603-510x255.jpg']","['https://d3w2op3lb880hy.cloudfront.net/wp-content/uploads/2017/04/soflen.png', 'https://d3w2op3lb880hy.cloudfront.net/wp-content/uploads/2017/04/softlen_01_c2.jpg']"
